name	term	lev	seq	value
"cell-cell junction"	GO:0005911	2	ORTHOMCL9687	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL3652	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL1876	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10768	0
"microtubule"	GO:0005874	4	ORTHOMCL9454	0
"microtubule"	GO:0005874	4	ORTHOMCL19958	0
"microtubule"	GO:0005874	4	ORTHOMCL20522	1
"microtubule"	GO:0005874	4	ORTHOMCL7526	0
"microtubule"	GO:0005874	4	ORTHOMCL17656	0
"microtubule"	GO:0005874	4	ORTHOMCL18493	0
"microtubule"	GO:0005874	4	ORTHOMCL20881	0
"microtubule"	GO:0005874	4	ORTHOMCL11519	0
"microtubule"	GO:0005874	4	ORTHOMCL4532	0
"microtubule"	GO:0005874	4	ORTHOMCL21906	0
"microtubule"	GO:0005874	4	ORTHOMCL8853	0
"microtubule"	GO:0005874	4	ORTHOMCL18921	0
"microtubule"	GO:0005874	4	ORTHOMCL17849	0
"microtubule"	GO:0005874	4	ORTHOMCL18022	0
"microtubule"	GO:0005874	4	ORTHOMCL6249	0
"microtubule"	GO:0005874	4	ORTHOMCL5907	0
"microtubule"	GO:0005874	4	ORTHOMCL7495	1
"microtubule"	GO:0005874	4	ORTHOMCL3509	0
"microtubule"	GO:0005874	4	ORTHOMCL6813	0
"microtubule"	GO:0005874	4	ORTHOMCL13813	0
"microtubule"	GO:0005874	4	ORTHOMCL12412	1
"microtubule"	GO:0005874	4	ORTHOMCL2606	0
"microtubule"	GO:0005874	4	ORTHOMCL6387	0
"microtubule"	GO:0005874	4	ORTHOMCL20333	0
"microtubule"	GO:0005874	4	ORTHOMCL5406	0
"microtubule"	GO:0005874	4	ORTHOMCL4505	0
"microtubule"	GO:0005874	4	ORTHOMCL9459	0
"microtubule"	GO:0005874	4	ORTHOMCL13113	0
"microtubule"	GO:0005874	4	ORTHOMCL16272	0
"microtubule"	GO:0005874	4	ORTHOMCL20100	0
"microtubule"	GO:0005874	4	ORTHOMCL17631	0
"microtubule"	GO:0005874	4	ORTHOMCL1366	0
"microtubule"	GO:0005874	4	ORTHOMCL20754	0
"microtubule"	GO:0005874	4	ORTHOMCL6157	0
"microtubule"	GO:0005874	4	ORTHOMCL5462	0
"microtubule"	GO:0005874	4	ORTHOMCL3458	0
"microtubule"	GO:0005874	4	ORTHOMCL13134	0
"microtubule"	GO:0005874	4	ORTHOMCL1772	1
"microtubule"	GO:0005874	4	ORTHOMCL15545	1
"microtubule"	GO:0005874	4	ORTHOMCL12015	1
"microtubule"	GO:0005874	4	ORTHOMCL15403	0
"microtubule"	GO:0005874	4	ORTHOMCL7697	0
"microtubule"	GO:0005874	4	ORTHOMCL13650	1
"microtubule"	GO:0005874	4	ORTHOMCL13303	0
"microtubule"	GO:0005874	4	ORTHOMCL15502	1
"microtubule"	GO:0005874	4	ORTHOMCL10309	0
"microtubule"	GO:0005874	4	ORTHOMCL3476	0
"microtubule"	GO:0005874	4	ORTHOMCL10791	0
"microtubule"	GO:0005874	4	ORTHOMCL15219	0
"microtubule"	GO:0005874	4	ORTHOMCL13243	0
"microtubule"	GO:0005874	4	ORTHOMCL2126	0
"microtubule"	GO:0005874	4	ORTHOMCL20439	1
"microtubule"	GO:0005874	4	ORTHOMCL16006	1
"microtubule"	GO:0005874	4	ORTHOMCL21709	0
"microtubule"	GO:0005874	4	ORTHOMCL4143	0
"microtubule"	GO:0005874	4	ORTHOMCL4146	0
"microtubule"	GO:0005874	4	ORTHOMCL14186	0
"microtubule"	GO:0005874	4	ORTHOMCL15589	0
"microtubule"	GO:0005874	4	ORTHOMCL8060	1
"microtubule"	GO:0005874	4	ORTHOMCL11832	0
"microtubule"	GO:0005874	4	ORTHOMCL12057	0
"microtubule"	GO:0005874	4	ORTHOMCL7438	0
"microtubule"	GO:0005874	4	ORTHOMCL10555	0
"microtubule"	GO:0005874	4	ORTHOMCL3435	1
"microtubule"	GO:0005874	4	ORTHOMCL12262	0
"microtubule"	GO:0005874	4	ORTHOMCL6448	1
"microtubule"	GO:0005874	4	ORTHOMCL6110	0
"microtubule"	GO:0005874	4	ORTHOMCL13081	0
"microtubule"	GO:0005874	4	ORTHOMCL10288	0
"microtubule"	GO:0005874	4	ORTHOMCL20188	0
"microtubule"	GO:0005874	4	ORTHOMCL11489	0
"microtubule"	GO:0005874	4	ORTHOMCL17501	0
"microtubule"	GO:0005874	4	ORTHOMCL14766	0
"microtubule"	GO:0005874	4	ORTHOMCL14310	0
"microtubule"	GO:0005874	4	ORTHOMCL19541	0
"microtubule"	GO:0005874	4	ORTHOMCL13506	0
"microtubule"	GO:0005874	4	ORTHOMCL9679	0
"microtubule"	GO:0005874	4	ORTHOMCL7708	0
"microtubule"	GO:0005874	4	ORTHOMCL15627	0
"microtubule"	GO:0005874	4	ORTHOMCL6467	0
"microtubule"	GO:0005874	4	ORTHOMCL2373	0
"microtubule"	GO:0005874	4	ORTHOMCL11710	0
"microtubule"	GO:0005874	4	ORTHOMCL11715	0
"microtubule"	GO:0005874	4	ORTHOMCL11714	0
"microtubule"	GO:0005874	4	ORTHOMCL21873	0
"microtubule"	GO:0005874	4	ORTHOMCL17520	0
"microtubule"	GO:0005874	4	ORTHOMCL22332	0
"microtubule"	GO:0005874	4	ORTHOMCL3764	0
"microtubule"	GO:0005874	4	ORTHOMCL17683	0
"microtubule"	GO:0005874	4	ORTHOMCL19670	0
"microtubule"	GO:0005874	4	ORTHOMCL4468	0
"microtubule"	GO:0005874	4	ORTHOMCL19863	0
"microtubule"	GO:0005874	4	ORTHOMCL3159	0
"microtubule"	GO:0005874	4	ORTHOMCL17553	0
"microtubule"	GO:0005874	4	ORTHOMCL19247	0
"microtubule"	GO:0005874	4	ORTHOMCL9284	0
"microtubule"	GO:0005874	4	ORTHOMCL4075	0
"microtubule"	GO:0005874	4	ORTHOMCL22310	0
"microtubule"	GO:0005874	4	ORTHOMCL8374	1
"microtubule"	GO:0005874	4	ORTHOMCL17101	0
"microtubule"	GO:0005874	4	ORTHOMCL11503	0
"microtubule"	GO:0005874	4	ORTHOMCL4442	0
"microtubule"	GO:0005874	4	ORTHOMCL10226	0
"microtubule"	GO:0005874	4	ORTHOMCL20697	0
"microtubule"	GO:0005874	4	ORTHOMCL16694	0
"microtubule"	GO:0005874	4	ORTHOMCL6296	0
"microtubule"	GO:0005874	4	ORTHOMCL17025	1
"microtubule"	GO:0005874	4	ORTHOMCL21429	0
"microtubule"	GO:0005874	4	ORTHOMCL12336	0
"microtubule"	GO:0005874	4	ORTHOMCL1176	0
"microtubule"	GO:0005874	4	ORTHOMCL11571	0
"microtubule"	GO:0005874	4	ORTHOMCL14560	0
"microtubule"	GO:0005874	4	ORTHOMCL9174	0
"microtubule"	GO:0005874	4	ORTHOMCL4889	0
"microtubule"	GO:0005874	4	ORTHOMCL20013	0
"microtubule"	GO:0005874	4	ORTHOMCL11334	0
"microtubule"	GO:0005874	4	ORTHOMCL7101	0
"microtubule"	GO:0005874	4	ORTHOMCL20716	0
"microtubule"	GO:0005874	4	ORTHOMCL19203	0
"microtubule"	GO:0005874	4	ORTHOMCL5538	0
"microtubule"	GO:0005874	4	ORTHOMCL8105	0
"microtubule"	GO:0005874	4	ORTHOMCL3684	1
"microtubule"	GO:0005874	4	ORTHOMCL17943	0
"microtubule"	GO:0005874	4	ORTHOMCL20967	0
"microtubule"	GO:0005874	4	ORTHOMCL9991	0
"microtubule"	GO:0005874	4	ORTHOMCL11681	0
"microtubule"	GO:0005874	4	ORTHOMCL11680	1
"microtubule"	GO:0005874	4	ORTHOMCL15457	1
"microtubule"	GO:0005874	4	ORTHOMCL16485	1
